feature,importance
year_month_2024-08,23.68667456842524
total_visits,18.62519428680166
avg_days_between_pickups,10.409827668252
days_since_last_pickup,9.001315375780397
year_month_2024-06,6.043891977067694
month,5.276885394298807
year_month_2024-07,4.905992861114364
days_diff_scheduled_actual,4.607591652588377
year_month_2024-05,4.457454489010583
Creator_(App admin),1.995468980468435
distance_to_center,1.5967163836451128
dependents_qty,1.1582685512311732
year_month_2024-04,0.677661753815444
sex_Female,0.43905854733961125
sex_Male,0.42368202704803887
preferred_languages_Arabic,0.38336958538439536
location_cluster,0.3136500520896716
year_month_2024-03,0.270896412504797
"age_group_[35, 40)",0.23166291680845455
preferred_contact_methods_SMS,0.17612384029992836
Creator_1694118506026x195832919403202460,0.13482769904595027
"preferred_languages_Persian , English",0.11926705387526683
"age_group_[30, 35)",0.11279124006363386
preferred_contact_methods_WhatsApp,0.10975018542776702
"age_group_[50, 55)",0.10555826864198732
"age_group_[55, 60)",0.0963061615157373
year_month_2024-02,0.09175321146651667
agent_related_1696525219252x717076511099482400,0.08708166018405428
year_month_2023-12,0.07214632180933044
"age_group_[65, 70)",0.07085776403536756
year_month_2024-01,0.06975569862485828
status_Active,0.06688390557645736
"age_group_[45, 50)",0.06269489291935146
preferred_contact_methods_Email,0.059419693880756755
Creator_1701714834932x501950585476456100,0.04215711474751511
agent_related_1701714834932x501950585476456100,0.03944476996388507
agent_related_1694118506026x195832919403202460,0.03908382064824923
agent_related_1670961062596x254064011707049180,0.03440940437790579
"preferred_contact_methods_WhatsApp , SMS",0.03415328295811714
related_scheduler_1702922548497x694524247639064600,0.032088936442197194
related_scheduler_1706643969331x118093447322402820,0.03199901803877755
"preferred_languages_Arabic , Arabic",0.03182147423035223
related_scheduler_1707157256575x548974448948281340,0.029165020889218848
"age_group_[40, 45)",0.028891845201593918
Creator_1696525219252x717076511099482400,0.028112463757992825
"preferred_contact_methods_WhatsApp , Phone Call",0.027625757237858532
agent_related_1695924383527x556410987519920600,0.026983400846029005
household_yes,0.026163873293780313
Creator_1695924383527x556410987519920600,0.02484706226843403
Creator_1659409219438x436983271756568900,0.024100219941003632
unique id_1705433103706x876737143712748700,0.024024712054489063
